Timestamp,main_air_press,main_motor_curr,metal_oil_supply_press_contr,metal_oil_supply_press_cut,metal_temp_control,metal_temp_cut,oil_supply_press,output_count_sum,status,tongs_cast_curr,tongs_cast_set_freq,trans_pos_down,trans_pos_left,trans_pos_right,trans_pos_up,work_oil_supply_press
2022-05-12 20:01:51,2591.2,4099.0,278.3,231.9,43.0,43.0,472.111,122337.0,2.0,0.0,6000.0,638.8,796.857,1729.5,948.6,1861.1
2022-05-12 20:01:52,2597.4,5764.0,280.1,240.9,,,475.3,122342.0,2.0,,,638.714,797.0,1729.9,948.555,1852.6
2022-05-12 20:01:53,2593.4,4007.0,291.1,236.7,,,466.125,122347.0,2.0,,,637.1,797.333,1729.5,947.1,1846.6
2022-05-12 20:01:54,2592.33,5346.0,280.222,225.777,,,474.111,122352.0,2.0,,,638.8,796.875,1729.87,948.7,1855.25
2022-05-12 20:01:55,2592.83,4245.0,278.1,243.9,,,479.5,122357.0,2.0,,,637.666,797.25,1730.0,947.4,1853.8
2022-05-12 20:01:56,2593.87,4142.0,281.222,234.555,,,465.222,122361.0,2.0,,,639.625,797.0,1729.16,949.25,1854.77
2022-05-12 20:01:57,2592.55,5813.0,273.555,243.3,,,479.6,122366.0,2.0,,,638.777,797.0,1729.8,948.375,1862.5
2022-05-12 20:01:58,2589.22,4020.0,286.5,235.555,,,475.1,122371.0,2.0,,,637.4,797.142,1729.37,947.666,1855.7
2022-05-12 20:01:59,2589.5,6016.0,284.9,240.5,,,468.7,122376.0,2.0,,,638.9,796.875,1729.55,948.7,1866.6
2022-05-12 20:02:00,2591.44,4263.0,276.5,225.2,,,484.555,122381.0,2.0,,,637.2,797.142,1730.0,947.444,1854.0
2022-05-12 20:02:01,2591.12,4144.0,283.555,229.111,,,469.1,122385.0,2.0,,,638.7,796.875,1729.28,948.6,1853.2
2022-05-12 20:02:02,2592.14,5835.0,275.375,233.625,,,482.5,122390.0,2.0,,,638.3,797.0,1729.7,948.555,1853.37
2022-05-12 20:02:03,2588.8,4108.0,279.0,239.777,,,472.5,122395.0,2.0,,,637.4,797.222,1729.37,947.5,1858.77
2022-05-12 20:02:04,2585.22,6104.0,281.7,235.666,,,467.777,122400.0,2.0,,,638.8,796.875,1729.5,948.6,1857.9
2022-05-12 20:02:05,2585.7,4228.0,281.5,238.0,,,481.333,122405.0,2.0,,,637.5,797.0,1729.33,947.666,1859.9
2022-05-12 20:02:06,2582.5,4106.0,277.8,235.222,,,465.3,122410.0,2.0,,,639.0,796.875,1729.75,948.7,1857.9
2022-05-12 20:02:07,2578.16,5194.0,278.333,233.666,,,476.0,122415.0,2.0,,,638.625,797.0,1729.88,947.5,1868.11
2022-05-12 20:02:08,2580.66,4102.0,278.666,243.5,,,475.9,122419.0,2.0,,,638.222,797.0,1729.44,948.333,1851.7
2022-05-12 20:02:09,2581.85,6073.0,289.571,236.714,,,467.666,122423.0,2.0,,,638.571,797.0,1730.4,947.857,1867.28
